text,label
Scientists discover new breakthrough in cancer treatment after years of research. The peer-reviewed study published in Nature shows promising results.,1
BREAKING: Aliens landed in New York City last night! Government covering it up!,0
"The Federal Reserve announced a 0.25% interest rate increase today, citing inflation concerns.",1
Drinking bleach cures all diseases according to doctors. Share this before they delete it!,0
"Apple Inc. reported record quarterly earnings, exceeding analyst expectations by 12%.",1
5G towers are controlling people's minds! Wake up sheeple!,0
The World Health Organization released new guidelines for preventing respiratory infections.,1
Hillary Clinton runs secret pizza shop trafficking ring confirmed by anonymous sources!,0
NASA's Perseverance rover successfully collected rock samples on Mars surface.,1
COVID vaccine contains microchips to track you! Bill Gates admitted it in secret video!,0
Climate scientists report 2024 was the hottest year on record based on global temperature data.,1
Flat Earth proven! NASA admits all space photos are CGI!,0
The European Central Bank maintained its benchmark interest rate at the latest policy meeting.,1
Celebrities are actually lizard people wearing human skin suits!,0
Microsoft announced acquisition of gaming company for $68 billion pending regulatory approval.,1
Eating carrots gives you night vision like a cat! Doctors hate this one trick!,0
United Nations Security Council held emergency session to discuss humanitarian crisis.,1
The moon landing was faked in a Hollywood studio directed by Stanley Kubrick!,0
"Tesla delivered 500,000 vehicles in Q4, meeting production targets set earlier this year.",1
Secret documents reveal government controlling weather with chemtrails!,0
The Supreme Court issued ruling on landmark civil rights case in 6-3 decision.,1
Bigfoot captured in Montana! DNA tests show half human half ape!,0
Amazon Web Services experienced brief outage affecting multiple regions yesterday.,1
Illuminati meeting photos leaked! World leaders caught in secret ritual!,0
Pharmaceutical company received FDA approval for new diabetes medication.,1
Vaccines cause autism! CDC whistleblower confirms massive coverup!,0
The unemployment rate fell to 3.7% according to latest Bureau of Labor Statistics report.,1
Mermaids are real! Government hiding underwater civilization!,0
Google announced new AI features for its search engine at annual developer conference.,1
Time travel already exists! Elite using it to manipulate elections!,0
